"","place","ward.A","dist.A","reg.A","pwd.A","wd.A","wdr.A","ward.B","dist.B","reg.B","wd.B","wdr.B","dist.A.dist","reg.A.dist","ward.A.dist","dist","dist_sum","acceptWDR"
"814","mabola","nkunguru","magu.dc","mwanza","mabola-nkunguru-magu.dc","nkunguru-magu.dc","nkunguru-magu.dc-mwanza","nkungulu","magu.dc","mwanza","nkungulu-magu.dc","nkungulu-magu.dc-mwanza",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"815","mabuki","mabuki","misungwi.dc","mwanza","mabuki-mabuki-misungwi.dc","mabuki-misungwi.dc","mabuki-misungwi.dc-mwanza","mabuki","misungwi.dc","mwanza","mabuki-misungwi.dc","mabuki-misungwi.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"816","machombe","machombe","masasi.dc","mtwara","machombe-machombe-masasi.dc","machombe-masasi.dc","machombe-masasi.dc-mtwara","chiwale","masasi.dc","mtwara","chiwale-masasi.dc","chiwale-masasi.dc-mtwara",0,0,0.43452380952381,NA,0.43452380952381,NA
"817","machombe","machombe","masasi.dc","mtwara","machombe-machombe-masasi.dc","machombe-masasi.dc","machombe-masasi.dc-mtwara","mchauru","masasi.dc","mtwara","mchauru-masasi.dc","mchauru-masasi.dc-mtwara",0,0,0.43452380952381,NA,0.43452380952381,NA
"818","machombe","marika","masasi.dc","mtwara","machombe-marika-masasi.dc","marika-masasi.dc","marika-masasi.dc-mtwara","marika","masasi.tc","mtwara","marika-masasi.tc","marika-masasi.tc-mtwara",0.0740740740740742,0,0,NA,0.0740740740740742,"acceptWDR1"
"819","madabadaba","minazini","malinyi.dc","morogoro","madabadaba-minazini-malinyi.dc","minazini-malinyi.dc","minazini-malinyi.dc-morogoro","malinyi","malinyi.dc","morogoro","malinyi-malinyi.dc","malinyi-malinyi.dc-morogoro",0,0,0.320238095238095,NA,0.320238095238095,NA
"820","madawi","imalilosongwe","mbarali.dc","mbeya","madawi-imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya","imalilosongwe","mbarali.dc","mbeya","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"821","madibira","madibira","mbarali.dc","mbeya","madibira-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"822","madibira","mtimbira","malinyi.dc","morogoro","madibira-mtimbira-malinyi.dc","mtimbira-malinyi.dc","mtimbira-malinyi.dc-morogoro","mtimbira","malinyi.dc","morogoro","mtimbira-malinyi.dc","mtimbira-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"823","madibira.chini.nganawa","mtimbira","malinyi.dc","morogoro","madibira.chini.nganawa-mtimbira-malinyi.dc","mtimbira-malinyi.dc","mtimbira-malinyi.dc-morogoro","mtimbira","malinyi.dc","morogoro","mtimbira-malinyi.dc","mtimbira-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"824","madizini","mziha","mvomero.dc","morogoro","madizini-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mhonda","mvomero.dc","morogoro","mhonda-mvomero.dc","mhonda-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"825","madizini","mziha","mvomero.dc","morogoro","madizini-mziha-mvomero.dc","mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc","mtibwa-mvomero.dc-morogoro",0,0,0.3,NA,0.3,NA
"826","madoto.nyumbani","madoto","kilosa.dc","morogoro","madoto.nyumbani-madoto-kilosa.dc","madoto-kilosa.dc","madoto-kilosa.dc-morogoro","madoto","kilosa.dc","morogoro","madoto-kilosa.dc","madoto-kilosa.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"827","madukani","lipangalala","ifakara.tc","morogoro","madukani-lipangalala-ifakara.tc","lipangalala-ifakara.tc","lipangalala-ifakara.tc-morogoro","ifakara","ifakara.tc","morogoro","ifakara-ifakara.tc","ifakara-ifakara.tc-morogoro",0,0,0.354978354978355,NA,0.354978354978355,NA
"828","madunda","luhanga","mbarali.dc","mbeya","madunda-luhanga-mbarali.dc","luhanga-mbarali.dc","luhanga-mbarali.dc-mbeya","luhanga","mbarali.dc","mbeya","luhanga-mbarali.dc","luhanga-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"829","madundasi","luhanga","mbarali.dc","mbeya","madundasi-luhanga-mbarali.dc","luhanga-mbarali.dc","luhanga-mbarali.dc-mbeya","luhanga","mbarali.dc","mbeya","luhanga-mbarali.dc","luhanga-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"830","maendeleo","mkomaindo","masasi.dc","mtwara","maendeleo-mkomaindo-masasi.dc","mkomaindo-masasi.dc","mkomaindo-masasi.dc-mtwara","mkomaindo","masasi.tc","mtwara","mkomaindo-masasi.tc","mkomaindo-masasi.tc-mtwara",0.0740740740740742,0,0,NA,0.0740740740740742,"acceptWDR1"
"831","mafinga","mafinga","mufindi.dc","iringa","mafinga-mafinga-mufindi.dc","mafinga-mufindi.dc","mafinga-mufindi.dc-iringa","mninga","mufindi.dc","iringa","mninga-mufindi.dc","mninga-mufindi.dc-iringa",0,0,0.150793650793651,NA,0.150793650793651,NA
"832","mafinga","mafinga","mufindi.dc","iringa","mafinga-mafinga-mufindi.dc","mafinga-mufindi.dc","mafinga-mufindi.dc-iringa","mpanga","mufindi.dc","iringa","mpanga-mufindi.dc","mpanga-mufindi.dc-iringa",0,0,0.150793650793651,NA,0.150793650793651,NA
"833","mafuluto","mafuluto","iringa.dc","iringa","mafuluto-mafuluto-iringa.dc","mafuluto-iringa.dc","mafuluto-iringa.dc-iringa","maguliwa","iringa.dc","iringa","maguliwa-iringa.dc","maguliwa-iringa.dc-iringa",0,0,0.333333333333333,NA,0.333333333333333,NA
"834","mafuluto","mlowa","iringa.dc","iringa","mafuluto-mlowa-iringa.dc","mlowa-iringa.dc","mlowa-iringa.dc-iringa","mlowa","iringa.dc","iringa","mlowa-iringa.dc","mlowa-iringa.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"835","magaga","chifutuka","bahi.dc","dodoma","magaga-chifutuka-bahi.dc","chifutuka-bahi.dc","chifutuka-bahi.dc-dodoma","chikola","bahi.dc","dodoma","chikola-bahi.dc","chikola-bahi.dc-dodoma",0,0,0.328042328042328,NA,0.328042328042328,NA
"836","magereza","iragua","ulanga.dc","morogoro","magereza-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"837","magereza.mikochi","iragua","ulanga.dc","morogoro","magereza.mikochi-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"838","magereza.mikochi.nyumbani","iragua","ulanga.dc","morogoro","magereza.mikochi.nyumbani-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"839","magereza.nyumbani","iragua","malinyi.dc","morogoro","magereza.nyumbani-iragua-malinyi.dc","iragua-malinyi.dc","iragua-malinyi.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0.3,0,0,NA,0.3,"acceptWDR1"
"840","magigiwa","mapogoro","mbarali.dc","mbeya","magigiwa-mapogoro-mbarali.dc","mapogoro-mbarali.dc","mapogoro-mbarali.dc-mbeya","mapogoro","mbarali.dc","mbeya","mapogoro-mbarali.dc","mapogoro-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"841","magigiwe","magigiwe","magigiwe","magigiwe","magigiwe-magigiwe-magigiwe","magigiwe-magigiwe","magigiwe-magigiwe-magigiwe","magogoni","magharibi.a","mjini.magharibi","magogoni-magharibi.a","magogoni-magharibi.a-mjini.magharibi",0.306818181818182,0.480555555555556,0.25,NA,1.03737373737374,NA
"842","magigiwe","mapogoro","mbarali.dc","mbeya","magigiwe-mapogoro-mbarali.dc","mapogoro-mbarali.dc","mapogoro-mbarali.dc-mbeya","mapogoro","mbarali.dc","mbeya","mapogoro-mbarali.dc","mapogoro-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"843","magigiwe","miyombweni","mbarali.dc","mbeya","magigiwe-miyombweni-mbarali.dc","miyombweni-mbarali.dc","miyombweni-mbarali.dc-mbeya","miyombweni","mbarali.dc","mbeya","miyombweni-mbarali.dc","miyombweni-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"844","magogo","sibwesa","tanganyika","tanganyika","magogo-sibwesa-tanganyika","sibwesa-tanganyika","sibwesa-tanganyika-tanganyika","bweni","pangani.dc","tanga","bweni-pangani.dc","bweni-pangani.dc-tanga",0.266666666666667,0.166666666666667,0.323809523809524,NA,0.757142857142857,NA
"845","magogo","sibwesa","tanganyika","tanganyika","magogo-sibwesa-tanganyika","sibwesa-tanganyika","sibwesa-tanganyika-tanganyika","mwera","pangani.dc","tanga","mwera-pangani.dc","mwera-pangani.dc-tanga",0.266666666666667,0.166666666666667,0.323809523809524,NA,0.757142857142857,NA
"846","magogo.sibwesa","sibwesa","tanganyika","tanganyika","magogo.sibwesa-sibwesa-tanganyika","sibwesa-tanganyika","sibwesa-tanganyika-tanganyika","bweni","pangani.dc","tanga","bweni-pangani.dc","bweni-pangani.dc-tanga",0.266666666666667,0.166666666666667,0.323809523809524,NA,0.757142857142857,NA
"847","magogo.sibwesa","sibwesa","tanganyika","tanganyika","magogo.sibwesa-sibwesa-tanganyika","sibwesa-tanganyika","sibwesa-tanganyika-tanganyika","mwera","pangani.dc","tanga","mwera-pangani.dc","mwera-pangani.dc-tanga",0.266666666666667,0.166666666666667,0.323809523809524,NA,0.757142857142857,NA
"848","magudugudu","magudugudu","chamwino.dc","dodoma","magudugudu-magudugudu-chamwino.dc","magudugudu-chamwino.dc","magudugudu-chamwino.dc-dodoma","manda","chamwino.dc","dodoma","manda-chamwino.dc","manda-chamwino.dc-dodoma",0,0,0.366666666666667,NA,0.366666666666667,NA
"849","magula","magula","nsimbo.dc","katavi","magula-magula-nsimbo.dc","magula-nsimbo.dc","magula-nsimbo.dc-katavi","magamba","nsimbo.dc","katavi","magamba-nsimbo.dc","magamba-nsimbo.dc-katavi",0,0,0.253968253968254,NA,0.253968253968254,NA
"850","magulula","utengule.usangu","mbarali.dc","mbeya","magulula-utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc-mbeya","utengule.usangu","mbarali.dc","mbeya","utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"851","magunga","nkung.ungu","chunya.dc","mbeya","magunga-nkung.ungu-chunya.dc","nkung.ungu-chunya.dc","nkung.ungu-chunya.dc-mbeya","lupatingatinga","chunya.dc","mbeya","lupatingatinga-chunya.dc","lupatingatinga-chunya.dc-mbeya",0,0,0.447619047619048,NA,0.447619047619048,NA
"852","magwalisi","rujewa","mbarali.dc","mbeya","magwalisi-rujewa-mbarali.dc","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya","rujewa","mbarali.dc","mbeya","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"853","mahaha","mahaha","magu.dc","mwanza","mahaha-mahaha-magu.dc","mahaha-magu.dc","mahaha-magu.dc-mwanza","mwamanga","magu.dc","mwanza","mwamanga-magu.dc","mwamanga-magu.dc-mwanza",0,0,0.277777777777778,NA,0.277777777777778,NA
"854","mahaha","shishani","magu.dc","mwanza","mahaha-shishani-magu.dc","shishani-magu.dc","shishani-magu.dc-mwanza","shishani","magu.dc","mwanza","shishani-magu.dc","shishani-magu.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"855","mahango","madibira","mbarali.dc","mbeya","mahango-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"856","mahango","utengule.usangu","mbarali.dc","mbeya","mahango-utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc-mbeya","utengule.usangu","mbarali.dc","mbeya","utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"857","mahango","utenguleusangu","mbarali.dc","mbeya","mahango-utenguleusangu-mbarali.dc","utenguleusangu-mbarali.dc","utenguleusangu-mbarali.dc-mbeya","utengule.usangu","mbarali.dc","mbeya","utengule.usangu-mbarali.dc","utengule.usangu-mbarali.dc-mbeya",0,0,0.0222222222222221,NA,0.0222222222222221,"acceptWDR2"
"858","mahenge","mahenge","ulanga.dc","morogoro","mahenge-mahenge-ulanga.dc","mahenge-ulanga.dc","mahenge-ulanga.dc-morogoro","mahenge","ulanga.dc","morogoro","mahenge-ulanga.dc","mahenge-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"859","mahenge.mjini","mahenge","ulanga.dc","morogoro","mahenge.mjini-mahenge-ulanga.dc","mahenge-ulanga.dc","mahenge-ulanga.dc-morogoro","mahenge","ulanga.dc","morogoro","mahenge-ulanga.dc","mahenge-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"860","mahiga","ngudu","kwimba.dc","mwanza","mahiga-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"861","mahinga","ngudu","kwimba.dc","mwanza","mahinga-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"862","mahongole","mahongole","mbarali.dc","mbeya","mahongole-mahongole-mbarali.dc","mahongole-mbarali.dc","mahongole-mbarali.dc-mbeya","mahongole","mbarali.dc","mbeya","mahongole-mbarali.dc","mahongole-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"863","maiga","mwan.galang.a","kwimba.dc","mwanza","maiga-mwan.galang.a-kwimba.dc","mwan.galang.a-kwimba.dc","mwan.galang.a-kwimba.dc-mwanza","mwang.halanga","kwimba.dc","mwanza","mwang.halanga-kwimba.dc","mwang.halanga-kwimba.dc-mwanza",0,0,0.0790598290598291,NA,0.0790598290598291,"acceptWDR2"
"864","mailisita","chanikanguo","masasi.dc","mtwara","mailisita-chanikanguo-masasi.dc","chanikanguo-masasi.dc","chanikanguo-masasi.dc-mtwara","chigugu","masasi.dc","mtwara","chigugu-masasi.dc","chigugu-masasi.dc-mtwara",0,0,0.277056277056277,NA,0.277056277056277,NA
"865","majembe","mkundi","masasi.dc","mtwara","majembe-mkundi-masasi.dc","mkundi-masasi.dc","mkundi-masasi.dc-mtwara","mkundi","masasi.dc","mtwara","mkundi-masasi.dc","mkundi-masasi.dc-mtwara",0,0,0,NA,0,"acceptWDR0"
"866","majengo","chala","nkasi.dc","rukwa","majengo-chala-nkasi.dc","chala-nkasi.dc","chala-nkasi.dc-rukwa","chala","nkasi.dc","rukwa","chala-nkasi.dc","chala-nkasi.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"867","majengo","chiwale","masasi.dc","mtwara","majengo-chiwale-masasi.dc","chiwale-masasi.dc","chiwale-masasi.dc-mtwara","chiwale","masasi.dc","mtwara","chiwale-masasi.dc","chiwale-masasi.dc-mtwara",0,0,0,NA,0,"acceptWDR0"
"868","majengo","dutwa","bariadi.dc","simiyu","majengo-dutwa-bariadi.dc","dutwa-bariadi.dc","dutwa-bariadi.dc-simiyu","dutwa","bariadi.dc","simiyu","dutwa-bariadi.dc","dutwa-bariadi.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"869","majengo","majengo","mpanda.dc","katavi","majengo-majengo-mpanda.dc","majengo-mpanda.dc","majengo-mpanda.dc-katavi","makanyagio","mpanda.mc","katavi","makanyagio-mpanda.mc","makanyagio-mpanda.mc-katavi",0.0740740740740742,0,0.261904761904762,NA,0.335978835978836,NA
"870","majengo","majengo","sumbawanga.mc","rukwa","majengo-majengo-sumbawanga.mc","majengo-sumbawanga.mc","majengo-sumbawanga.mc-rukwa","majengo","sumbawanga.mc","rukwa","majengo-sumbawanga.mc","majengo-sumbawanga.mc-rukwa",0,0,0,NA,0,"acceptWDR0"
"871","majengo","mtanila","chunya.dc","mbeya","majengo-mtanila-chunya.dc","mtanila-chunya.dc","mtanila-chunya.dc-mbeya","mtanila","chunya.dc","mbeya","mtanila-chunya.dc","mtanila-chunya.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"872","majengo","mtonya","newala.dc","mtwara","majengo-mtonya-newala.dc","mtonya-newala.dc","mtonya-newala.dc-mtwara","mtonya","newala.tc","mtwara","mtonya-newala.tc","mtonya-newala.tc-mtwara",0.0740740740740742,0,0,NA,0.0740740740740742,"acceptWDR1"
"873","majengo","nkung.ungu","chunya.dc","mbeya","majengo-nkung.ungu-chunya.dc","nkung.ungu-chunya.dc","nkung.ungu-chunya.dc-mbeya","lupatingatinga","chunya.dc","mbeya","lupatingatinga-chunya.dc","lupatingatinga-chunya.dc-mbeya",0,0,0.447619047619048,NA,0.447619047619048,NA
"874","majengo","upendo","chunya.dc","mbeya","majengo-upendo-chunya.dc","upendo-chunya.dc","upendo-chunya.dc-mbeya","matundasi","chunya.dc","mbeya","matundasi-chunya.dc","matundasi-chunya.dc-mbeya",0,0,0.388888888888889,NA,0.388888888888889,NA
"875","majiji","sofi","malinyi.dc","morogoro","majiji-sofi-malinyi.dc","sofi-malinyi.dc","sofi-malinyi.dc-morogoro","sofi","malinyi.dc","morogoro","sofi-malinyi.dc","sofi-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"876","majili","sasagila","manyoni.dc","singida","majili-sasagila-manyoni.dc","sasagila-manyoni.dc","sasagila-manyoni.dc-singida","sasajila","manyoni.dc","singida","sasajila-manyoni.dc","sasajila-manyoni.dc-singida",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"877","majimoto","majimoto","mlele.dc","katavi","majimoto-majimoto-mlele.dc","majimoto-mlele.dc","majimoto-mlele.dc-katavi","majimoto","mpimbwe.dc","katavi","majimoto-mpimbwe.dc","majimoto-mpimbwe.dc-katavi",0.291666666666667,0,0,NA,0.291666666666667,"acceptWDR1"
"878","majimoto","majimoto","mpimbwe.dc","katavi","majimoto-majimoto-mpimbwe.dc","majimoto-mpimbwe.dc","majimoto-mpimbwe.dc-katavi","majimoto","mpimbwe.dc","katavi","majimoto-mpimbwe.dc","majimoto-mpimbwe.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"879","makambako","lyamkena","makambako.tc","njombe","makambako-lyamkena-makambako.tc","lyamkena-makambako.tc","lyamkena-makambako.tc-njombe","lyamkena","makambako.tc","njombe","lyamkena-makambako.tc","lyamkena-makambako.tc-njombe",0,0,0,NA,0,"acceptWDR0"
"880","makambako","makambako","makambako.tc","njombe","makambako-makambako-makambako.tc","makambako-makambako.tc","makambako-makambako.tc-njombe","mwembetogwa","makambako.tc","njombe","mwembetogwa-makambako.tc","mwembetogwa-makambako.tc-njombe",0,0,0.396632996632997,NA,0.396632996632997,NA
"881","makambako","makambako","njombe.dc","njombe","makambako-makambako-njombe.dc","makambako-njombe.dc","makambako-njombe.dc-njombe","matembwe","njombe.dc","njombe","matembwe-njombe.dc","matembwe-njombe.dc-njombe",0,0,0.351851851851852,NA,0.351851851851852,NA
"882","makambako","mji.mwema","njema","njema","makambako-mji.mwema-njema","mji.mwema-njema","mji.mwema-njema-njema","mjimwema","njombe.mc","njombe","mjimwema-njombe.mc","mjimwema-njombe.mc-njombe",0.335185185185185,0.3,0.0370370370370371,NA,0.672222222222222,NA
"883","makambako","mji.mwema","njombe.dc","njombe","makambako-mji.mwema-njombe.dc","mji.mwema-njombe.dc","mji.mwema-njombe.dc-njombe","mjimwema","njombe.mc","njombe","mjimwema-njombe.mc","mjimwema-njombe.mc-njombe",0.0740740740740742,0,0.0370370370370371,NA,0.111111111111111,NA
"884","makambako","mjimwema","njombe.dc","njombe","makambako-mjimwema-njombe.dc","mjimwema-njombe.dc","mjimwema-njombe.dc-njombe","mjimwema","njombe.mc","njombe","mjimwema-njombe.mc","mjimwema-njombe.mc-njombe",0.0740740740740742,0,0,NA,0.0740740740740742,"acceptWDR1"
"885","makambako","rujewa","mbarali.dc","mbeya","makambako-rujewa-mbarali.dc","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya","rujewa","mbarali.dc","mbeya","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"886","makambako","wanging.ombe","wanging.ombe.dc","njombe","makambako-wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe","wanging.ombe","wanging.ombe.dc","njombe","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe",0,0,0,NA,0,"acceptWDR0"
"887","makan.gwa","makan.gwa","chamwino.dc","dodoma","makan.gwa-makan.gwa-chamwino.dc","makan.gwa-chamwino.dc","makan.gwa-chamwino.dc-dodoma","makang.wa","chamwino.dc","dodoma","makang.wa-chamwino.dc","makang.wa-chamwino.dc-dodoma",0,0,0.0370370370370371,NA,0.0370370370370371,"acceptWDR2"
"888","makanda","makanda","bahi.dc","dodoma","makanda-makanda-bahi.dc","makanda-bahi.dc","makanda-bahi.dc-dodoma","makanda","bahi.dc","dodoma","makanda-bahi.dc","makanda-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"889","makanda","makanda","makanda","makanda","makanda-makanda-makanda","makanda-makanda","makanda-makanda-makanda","makanda","manyoni.dc","singida","makanda-manyoni.dc","makanda-manyoni.dc-singida",0.342857142857143,0.380952380952381,0,NA,0.723809523809524,NA
"890","makanda","makanda","manyoni.dc","singida","makanda-makanda-manyoni.dc","makanda-manyoni.dc","makanda-manyoni.dc-singida","makanda","manyoni.dc","singida","makanda-manyoni.dc","makanda-manyoni.dc-singida",0,0,0,NA,0,"acceptWDR0"
"891","makanda.ya.manyoni","makanda","manyoni.dc","singida","makanda.ya.manyoni-makanda-manyoni.dc","makanda-manyoni.dc","makanda-manyoni.dc-singida","makanda","manyoni.dc","singida","makanda-manyoni.dc","makanda-manyoni.dc-singida",0,0,0,NA,0,"acceptWDR0"
"892","makanda.ya.mvumi","makanda","bahi.dc","dodoma","makanda.ya.mvumi-makanda-bahi.dc","makanda-bahi.dc","makanda-bahi.dc-dodoma","makanda","bahi.dc","dodoma","makanda-bahi.dc","makanda-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"893","makanyaga","kidatu","ifakara.tc","morogoro","makanyaga-kidatu-ifakara.tc","kidatu-ifakara.tc","kidatu-ifakara.tc-morogoro","kibaoni","ifakara.tc","morogoro","kibaoni-ifakara.tc","kibaoni-ifakara.tc-morogoro",0,0,0.357142857142857,NA,0.357142857142857,NA
"894","makerere","malinyi","malinyi.dc","morogoro","makerere-malinyi-malinyi.dc","malinyi-malinyi.dc","malinyi-malinyi.dc-morogoro","malinyi","malinyi.dc","morogoro","malinyi-malinyi.dc","malinyi-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"895","makitikiti","ndomoni","nachingwea.dc","lindi","makitikiti-ndomoni-nachingwea.dc","ndomoni-nachingwea.dc","ndomoni-nachingwea.dc-lindi","ndomoni","nachingwea.dc","lindi","ndomoni-nachingwea.dc","ndomoni-nachingwea.dc-lindi",0,0,0,NA,0,"acceptWDR0"
"896","makong.onda","makong.onda","masasi.dc","mtwara","makong.onda-makong.onda-masasi.dc","makong.onda-masasi.dc","makong.onda-masasi.dc-mtwara","nanganga","masasi.dc","mtwara","nanganga-masasi.dc","nanganga-masasi.dc-mtwara",0,0,0.373484848484849,NA,0.373484848484849,NA
"897","makong.onda.sindano.mnavira","makong.onda","masasi.dc","mtwara","makong.onda.sindano.mnavira-makong.onda-masasi.dc","makong.onda-masasi.dc","makong.onda-masasi.dc-mtwara","nanganga","masasi.dc","mtwara","nanganga-masasi.dc","nanganga-masasi.dc-mtwara",0,0,0.373484848484849,NA,0.373484848484849,NA
"898","makongolosi","makongolosi","chunya.dc","mbeya","makongolosi-makongolosi-chunya.dc","makongolosi-chunya.dc","makongolosi-chunya.dc-mbeya","makongorosi","chunya.dc","mbeya","makongorosi-chunya.dc","makongorosi-chunya.dc-mbeya",0,0,0.0606060606060606,NA,0.0606060606060606,"acceptWDR2"
"899","makorongo","makorongo","chemba.dc","dodoma","makorongo-makorongo-chemba.dc","makorongo-chemba.dc","makorongo-chemba.dc-dodoma","makorongo","chemba.dc","dodoma","makorongo-chemba.dc","makorongo-chemba.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"900","makurunge.peapea","rudewa","kilosa.dc","morogoro","makurunge.peapea-rudewa-kilosa.dc","rudewa-kilosa.dc","rudewa-kilosa.dc-morogoro","rudewa","kilosa.dc","morogoro","rudewa-kilosa.dc","rudewa-kilosa.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"901","malambo.b","malambo","bariadi.tc","simiyu","malambo.b-malambo-bariadi.tc","malambo-bariadi.tc","malambo-bariadi.tc-simiyu","malambo","bariadi.tc","simiyu","malambo-bariadi.tc","malambo-bariadi.tc-simiyu",0,0,0,NA,0,"acceptWDR0"
"902","malampaka","inyonga","mlele.dc","katavi","malampaka-inyonga-mlele.dc","inyonga-mlele.dc","inyonga-mlele.dc-katavi","inyonga","mlele.dc","katavi","inyonga-mlele.dc","inyonga-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"903","malampka","malampka","maswa.dc","simiyu","malampka-malampka-maswa.dc","malampka-maswa.dc","malampka-maswa.dc-simiyu","malampaka","maswa.dc","simiyu","malampaka-maswa.dc","malampaka-maswa.dc-simiyu",0,0,0.0787037037037037,NA,0.0787037037037037,"acceptWDR2"
"904","malangali","malangali","mufindi.dc","iringa","malangali-malangali-mufindi.dc","malangali-mufindi.dc","malangali-mufindi.dc-iringa","malangali","mufindi.dc","iringa","malangali-mufindi.dc","malangali-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"905","malangali","mamba","chunya.dc","mbeya","malangali-mamba-chunya.dc","mamba-chunya.dc","mamba-chunya.dc-mbeya","mamba","chunya.dc","mbeya","mamba-chunya.dc","mamba-chunya.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"906","malangali","mkwajuni","songwe.dc","songwe","malangali-mkwajuni-songwe.dc","mkwajuni-songwe.dc","mkwajuni-songwe.dc-songwe","mkwajuni","songwe.dc","songwe","mkwajuni-songwe.dc","mkwajuni-songwe.dc-songwe",0,0,0,NA,0,"acceptWDR0"
"907","malangali","upendo","chunya.dc","mbeya","malangali-upendo-chunya.dc","upendo-chunya.dc","upendo-chunya.dc-mbeya","matundasi","chunya.dc","mbeya","matundasi-chunya.dc","matundasi-chunya.dc-mbeya",0,0,0.388888888888889,NA,0.388888888888889,NA
