"dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist","acceptD0"
"nanyumbu.dc","nanyumbu","nanyumbu.dc","nanyumbu","mtwara",0,0,NA,"accept_D0"
"nanyumbu.mbeya.tabora.sumbawanga.dc","nanyumbu.mbeya.tabora.sumbawanga","nanyumbu.dc","nanyumbu","mtwara",0.25,0.308225108225108,NA,NA
"nchemba.dc","nchemba","chemba.dc","chemba","dodoma",0.0476190476190477,0.0333333333333334,NA,NA
"newala.dc","newala","newala.dc","newala","mtwara",0,0,NA,"accept_D0"
"newala.masasi.dc","newala.masasi","newala.dc","newala","mtwara",0.17948717948718,0.145833333333333,NA,NA
"newala.na.nanyumbu.dc","newala.na.nanyumbu","newala.tc","newala","mtwara",0.222222222222222,0.296296296296296,NA,NA
"newala.na.nanyumbu.dc","newala.na.nanyumbu","newala.dc","newala","mtwara",0.222222222222222,0.296296296296296,NA,NA
"ngudu.dc","ngudu","tunduru.dc","tunduru","ruvuma",0.292857142857143,0.189285714285714,NA,NA
"ngudu.dc","ngudu","tunduma.dc","tunduma","songwe",0.292857142857143,0.189285714285714,NA,NA
"njema.dc","njema","njombe.dc","njombe","njombe",0.3,0.163359788359788,NA,NA
"njombe.cc.mc.tc","njombe","njombe.mc","njombe","njombe",0,0.17037037037037,NA,"accept_D1"
"njombe.dc","njombe","njombe.dc","njombe","njombe",0,0,NA,"accept_D0"
"nkasi.dc","nkasi","nkasi.dc","nkasi","rukwa",0,0,NA,"accept_D0"
"nkuswe.dc","nkuswe","nkasi.dc","nkasi","rukwa",0.3,0.194444444444445,NA,NA
"nkwimba.dc","nkwimba","kwimba.dc","kwimba","mwanza",0.0476190476190477,0.0333333333333334,NA,NA
"nkwinba.dc","nkwinba","kwimba.dc","kwimba","mwanza",0.150793650793651,0.103703703703704,NA,NA
"nsimbo.dc","nsimbo","nsimbo.dc","nsimbo","katavi",0,0,NA,"accept_D0"
"nyamagana.dc","nyamagana","nyamagana.mc","nyamagana","mwanza",0,0.0555555555555557,NA,"accept_D1"
"pugu.dc","pugu","uyui.dc","uyui","tabora",0.333333333333333,0.19047619047619,NA,NA
"pwani.dar.es.salaam.dc","pwani.dar.es.salaam","wanging.ombe.dc","wanging.ombe","njombe",0.394736842105263,0.35959595959596,NA,NA
"pwani.dc","pwani","pangani.dc","pangani","tanga",0.20952380952381,0.141666666666667,NA,NA
"ruangwa.dc","ruangwa","ruangwa.dc","ruangwa","lindi",0,0,NA,"accept_D0"
"rujewa.dc","rujewa","ludewa.dc","ludewa","njombe",0.222222222222222,0.148148148148148,NA,NA
"rungwa.dc","rungwa","rungwe.dc","rungwe","mbeya",0.111111111111111,0.0740740740740742,NA,NA
"shenyang.dc","shenyang","shinyanga.dc","shinyanga","shinyanga",0.115740740740741,0.085858585858586,NA,NA
"shinyanga.dc","shinyanga","shinyanga.dc","shinyanga","shinyanga",0,0,NA,"accept_D0"
"sikonge.dc","sikonge","sikonge.dc","sikonge","tabora",0,0,NA,"accept_D0"
"silali.dc","silali","siha.dc","siha","kilimanjaro",0.25,0.158730158730159,NA,NA
"sinyanga.dc","sinyanga","shinyanga.dc","shinyanga","shinyanga",0.0370370370370371,0.0277777777777779,NA,NA
"skonge.dc","skonge","sikonge.dc","sikonge","tabora",0.0476190476190477,0.0333333333333334,NA,NA
"songea.dc","songea","songea.dc","songea","ruvuma",0,0,NA,"accept_D0"
"songea.mc","songea","songea.mc","songea","ruvuma",0,0,NA,"accept_D0"
"songwe.dc","songwe","songwe.dc","songwe","songwe",0,0,NA,"accept_D0"
"sumabwanga.dc","sumabwanga","sumbawanga.dc","sumbawanga","rukwa",0.0333333333333334,0.0256410256410255,NA,NA
"sumbawanga.cc.mc.tc","sumbawanga","sumbawanga.mc","sumbawanga","rukwa",0,0.130904183535762,NA,"accept_D1"
"sumbawanga.dc","sumbawanga","sumbawanga.dc","sumbawanga","rukwa",0,0,NA,"accept_D0"
"sumbawanga.mc","sumbawanga","sumbawanga.mc","sumbawanga","rukwa",0,0,NA,"accept_D0"
"tabora.dc","tabora","tabora.mc","tabora","tabora",0,0.0740740740740742,NA,"accept_D1"
"tandahimba.dc","tandahimba","tandahimba.dc","tandahimba","mtwara",0,0,NA,"accept_D0"
"tanga.cc.mc.tc","tanga","tanga.cc","tanga","tanga",0,0.142857142857143,NA,"accept_D1"
"tanga.dc","tanga","tanga.cc","tanga","tanga",0,0.0833333333333334,NA,"accept_D1"
"tanganyik.dc","tanganyik","pangani.dc","pangani","tanga",0.158730158730159,0.116666666666667,NA,NA
"tanganyika.dc","tanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA,NA
"temeke.dc","temeke","temeke.mc","temeke","dar.es.salaam",0,0.0740740740740742,NA,"accept_D1"
"tnganyika.dc","tnganyika","ngara.dc","ngara","kagera",0.355555555555556,0.180555555555556,NA,NA
"tumaini.dc","tumaini","malinyi.dc","malinyi","morogoro",0.19047619047619,0.133333333333333,NA,NA
"tunduma.cc.mc.tc","tunduma","tunduma.dc","tunduma","songwe",0,0.179166666666667,NA,"accept_D1"
"tunduru.dc","tunduru","tunduru.dc","tunduru","ruvuma",0,0,NA,"accept_D0"
"ulanga.dc","ulanga","ulanga.dc","ulanga","morogoro",0,0,NA,"accept_D0"
"utengule.usangu.dc","utengule.usangu","tunduru.dc","tunduru","ruvuma",0.384126984126984,0.335185185185185,NA,NA
"utengule.usangu.dc","utengule.usangu","tunduma.dc","tunduma","songwe",0.384126984126984,0.335185185185185,NA,NA
"uvinza.dc","uvinza","uvinza.dc","uvinza","kigoma",0,0,NA,"accept_D0"
"wanging.ombe.dc","wanging.ombe","wanging.ombe.dc","wanging.ombe","njombe",0,0,NA,"accept_D0"
"wilaya.dc","wilaya","kilwa.dc","kilwa","lindi",0.3,0.187169312169312,NA,NA
"yanganyika.dc","yanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA,NA
