"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","7. What is your main reason for buying these small ruminants? (see mrktc_lkpbuy_reason)","Unique Row Identifier (UUID)"
"998911","1","1","3","fd24298a-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","4","fd2443ce-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","5","fd2437b5-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","7","fd245a4b-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","1","fd4b2517-beed-11eb-8cbd-5cb901ddeae0"
"998913","1","1","4","f99a5761-beed-11eb-8cbd-5cb901ddeae0"
"998913","1","1","6","f99a6837-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","1","fc730139-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","2","fc7318ed-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","1","fb4b41d5-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","1","fe8caae9-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","-66","fe44d335-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","1","fe44b72e-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","8","fe44c501-beed-11eb-8cbd-5cb901ddeae0"
"998935","1","1","1","f7d40fbe-beed-11eb-8cbd-5cb901ddeae0"
"998936","1","1","1","fbd6118b-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","1","fba1e9a8-beed-11eb-8cbd-5cb901ddeae0"
"998940","1","1","1","f857be81-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","1","faa4d503-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","3","faa4c573-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","4","faa4b363-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","5","faa4a3ec-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","1","fdc03673-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","3","fdc04761-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","4","fdc05856-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","5","fdc06a69-beed-11eb-8cbd-5cb901ddeae0"
"999406","1","1","1","fd043d75-beed-11eb-8cbd-5cb901ddeae0"
"999406","1","1","8","fd044fd7-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","1","f80cce05-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","4","f80cdcfc-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","5","f80cebe6-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","7","f80cf8a8-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","1","f884a16e-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","4","f884aecd-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","5","f884baa3-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","1","fbc78676-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","5","fbc797e7-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","1","fea2594c-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","1","fb728a82-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","5","fb729c3f-beed-11eb-8cbd-5cb901ddeae0"
"999412","1","1","1","fc98de76-beed-11eb-8cbd-5cb901ddeae0"
"999413","1","1","1","f8cc2a53-beed-11eb-8cbd-5cb901ddeae0"
"999430","1","1","1","fe4cb6e8-beed-11eb-8cbd-5cb901ddeae0"
"999431","1","1","1","fd2b0f52-beed-11eb-8cbd-5cb901ddeae0"
"999431","1","1","5","fd2b1d89-beed-11eb-8cbd-5cb901ddeae0"
"999432","1","1","1","f84e08c5-beed-11eb-8cbd-5cb901ddeae0"
"999432","1","1","4","f84dfd62-beed-11eb-8cbd-5cb901ddeae0"
"999432","1","1","5","f84e13aa-beed-11eb-8cbd-5cb901ddeae0"
"999433","1","1","1","fd341bd3-beed-11eb-8cbd-5cb901ddeae0"
"999433","1","1","4","fd3431f6-beed-11eb-8cbd-5cb901ddeae0"
"999433","1","1","5","fd3444f7-beed-11eb-8cbd-5cb901ddeae0"
"999434","1","1","1","f9b3ecdf-beed-11eb-8cbd-5cb901ddeae0"
"999434","1","1","4","f9b3fcd7-beed-11eb-8cbd-5cb901ddeae0"
"999434","1","1","5","f9b4097a-beed-11eb-8cbd-5cb901ddeae0"
