"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","3. What is your main reason for selling these sheep and/ or goats? (see mrktc_lkpsell_reason)","Unique Row Identifier (UUID)"
"985952","1","1","2","fd79a3d4-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","2","fd08946a-beed-11eb-8cbd-5cb901ddeae0"
"985956","1","1","2","fe6feb60-beed-11eb-8cbd-5cb901ddeae0"
"985957","1","1","2","fc5cae3f-beed-11eb-8cbd-5cb901ddeae0"
"985958","1","1","2","fd76ef93-beed-11eb-8cbd-5cb901ddeae0"
"985961","1","1","2","fa108d63-beed-11eb-8cbd-5cb901ddeae0"
"986928","1","1","1","f8991ab7-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","1","f91c7953-beed-11eb-8cbd-5cb901ddeae0"
"986930","1","1","1","fa2574b2-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","1","fc3bbe31-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","1","f914439b-beed-11eb-8cbd-5cb901ddeae0"
"986934","1","1","1","fd56e9e3-beed-11eb-8cbd-5cb901ddeae0"
"986935","1","1","1","f8e7281e-beed-11eb-8cbd-5cb901ddeae0"
"986936","1","1","1","fcb5ac8d-beed-11eb-8cbd-5cb901ddeae0"
"992659","1","1","1","f8fe87f1-beed-11eb-8cbd-5cb901ddeae0"
"992817","1","1","2","fd739b6a-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","2","f8314715-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","4","f83159c6-beed-11eb-8cbd-5cb901ddeae0"
"992819","1","1","2","fa137ace-beed-11eb-8cbd-5cb901ddeae0"
"992820","1","1","2","feea4ac5-beed-11eb-8cbd-5cb901ddeae0"
"992821","1","1","2","fd64466f-beed-11eb-8cbd-5cb901ddeae0"
"992822","1","1","2","f953583b-beed-11eb-8cbd-5cb901ddeae0"
"992823","1","1","6","f81d978b-beed-11eb-8cbd-5cb901ddeae0"
"992824","1","1","2","fb6b917e-beed-11eb-8cbd-5cb901ddeae0"
"992825","1","1","2","fd89f94e-beed-11eb-8cbd-5cb901ddeae0"
"992916","1","1","1","fac37b5b-beed-11eb-8cbd-5cb901ddeae0"
"992917","1","1","1","fe81df4b-beed-11eb-8cbd-5cb901ddeae0"
"992918","1","1","1","f9cb7886-beed-11eb-8cbd-5cb901ddeae0"
"992919","1","1","2","fdf17315-beed-11eb-8cbd-5cb901ddeae0"
"992921","1","1","2","fa988b3c-beed-11eb-8cbd-5cb901ddeae0"
"992922","1","1","1","f7d89d78-beed-11eb-8cbd-5cb901ddeae0"
"992923","1","1","1","fe3190b1-beed-11eb-8cbd-5cb901ddeae0"
"992924","1","1","2","fc18d065-beed-11eb-8cbd-5cb901ddeae0"
"992925","1","1","2","feae2cfb-beed-11eb-8cbd-5cb901ddeae0"
"996123","1","1","2","ff055ff8-beed-11eb-8cbd-5cb901ddeae0"
"996125","1","1","-66","fe11990e-beed-11eb-8cbd-5cb901ddeae0"
"996127","1","1","1","fc7ab0ce-beed-11eb-8cbd-5cb901ddeae0"
"996127","1","1","2","fc7ac89f-beed-11eb-8cbd-5cb901ddeae0"
