"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","10. What other species of animals do you buy apart from sheep and goats? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"1000637","1","1","1","fe55ffe4-beed-11eb-8cbd-5cb901ddeae0"
"1000638","1","1","-66","fa5d1439-beed-11eb-8cbd-5cb901ddeae0"
"1000641","1","1","1","fa221932-beed-11eb-8cbd-5cb901ddeae0"
"1000668","1","1","-66","fc04a0e9-beed-11eb-8cbd-5cb901ddeae0"
"1000797","1","1","1","fbdeb12d-beed-11eb-8cbd-5cb901ddeae0"
"1000804","1","1","1","fe390e9b-beed-11eb-8cbd-5cb901ddeae0"
"1000807","1","1","-66","fc858b83-beed-11eb-8cbd-5cb901ddeae0"
"1000807","1","1","1","fc856ac1-beed-11eb-8cbd-5cb901ddeae0"
"1000807","1","1","4","fc857a84-beed-11eb-8cbd-5cb901ddeae0"
"1000811","1","1","1","feaadb9c-beed-11eb-8cbd-5cb901ddeae0"
"1000812","1","1","4","fddf1e03-beed-11eb-8cbd-5cb901ddeae0"
"1003610","1","1","4","f9238099-beed-11eb-8cbd-5cb901ddeae0"
"1003611","1","1","1","fa1eb661-beed-11eb-8cbd-5cb901ddeae0"
"1003611","1","1","4","fa1eaa4e-beed-11eb-8cbd-5cb901ddeae0"
"1003612","1","1","4","fc2d8bfa-beed-11eb-8cbd-5cb901ddeae0"
"1003613","1","1","4","fbfd7467-beed-11eb-8cbd-5cb901ddeae0"
"1003614","1","1","4","fb043e75-beed-11eb-8cbd-5cb901ddeae0"
"1003615","1","1","4","fb96dfba-beed-11eb-8cbd-5cb901ddeae0"
"1003616","1","1","4","fdea38cc-beed-11eb-8cbd-5cb901ddeae0"
"1003618","1","1","4","f96f2dff-beed-11eb-8cbd-5cb901ddeae0"
"1003619","1","1","4","f99ef682-beed-11eb-8cbd-5cb901ddeae0"
"1003621","1","1","4","f9db3ab2-beed-11eb-8cbd-5cb901ddeae0"
"1007769","1","1","4","f9e601a2-beed-11eb-8cbd-5cb901ddeae0"
"1007770","1","1","1","fa800532-beed-11eb-8cbd-5cb901ddeae0"
"1007770","1","1","4","fa80151d-beed-11eb-8cbd-5cb901ddeae0"
"1007770","1","1","5","fa80256f-beed-11eb-8cbd-5cb901ddeae0"
"1007771","1","1","4","fc8dde8f-beed-11eb-8cbd-5cb901ddeae0"
"1007776","1","1","4","fda11d99-beed-11eb-8cbd-5cb901ddeae0"
"1007777","1","1","-66","f93766b6-beed-11eb-8cbd-5cb901ddeae0"
"1007782","1","1","-66","fc58ec3f-beed-11eb-8cbd-5cb901ddeae0"
"1007789","1","1","4","fe64d2b6-beed-11eb-8cbd-5cb901ddeae0"
"1007835","1","1","4","fe90ae5f-beed-11eb-8cbd-5cb901ddeae0"
"1007836","1","1","4","f905dd03-beed-11eb-8cbd-5cb901ddeae0"
"1007840","1","1","4","feb8eaea-beed-11eb-8cbd-5cb901ddeae0"
"1007841","1","1","-66","fe06d79f-beed-11eb-8cbd-5cb901ddeae0"
"1007865","1","1","4","fbc3c162-beed-11eb-8cbd-5cb901ddeae0"
"1007867","1","1","4","fc4a452c-beed-11eb-8cbd-5cb901ddeae0"
"1007870","1","1","1","faeabd50-beed-11eb-8cbd-5cb901ddeae0"
"1007870","1","1","4","faeacf7f-beed-11eb-8cbd-5cb901ddeae0"
"1007873","1","1","-66","fab4f0e1-beed-11eb-8cbd-5cb901ddeae0"
"1007879","1","1","-66","fcd15447-beed-11eb-8cbd-5cb901ddeae0"
"1007880","1","1","4","f92ef56a-beed-11eb-8cbd-5cb901ddeae0"
"1007882","1","1","-66","fe77ea54-beed-11eb-8cbd-5cb901ddeae0"
