"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"1154829","1","1","1","Dutwa","Dutwa","Bariadi","1","4ecf092a-dec9-11ec-9416-9440c9ab47f0"
"1154830","1","1","1","Dutwa","Dutwa","Bariadi","1","43e65bf7-dec9-11ec-9416-9440c9ab47f0"
"1154830","1","2","2","Nasa","Nyashimo","Busega","1","43e669d0-dec9-11ec-9416-9440c9ab47f0"
"1154831","1","1","1","Nkololo","Nkololo","Bariadi","1","434c3b4c-dec9-11ec-9416-9440c9ab47f0"
"1154831","1","2","2","Dutwa","Dutwa","Bariadi","1","434d2f57-dec9-11ec-9416-9440c9ab47f0"
"1154831","1","3","3","Nasa","Nyashimo","Busega","1","434d401d-dec9-11ec-9416-9440c9ab47f0"
"1154832","1","1","1","Nkololo","Nkololo","Bariadi","1","4cdb864a-dec9-11ec-9416-9440c9ab47f0"
"1154832","1","2","2","Dutwa","Dutwa","Bariadi","1","4cdb9a1c-dec9-11ec-9416-9440c9ab47f0"
"1154833","1","1","1","Dutwa","Dutwa","Bariadi","1","428bb8ed-dec9-11ec-9416-9440c9ab47f0"
"1154834","1","1","1","Nasa","Nyashimo","Busega","1","4d818bfd-dec9-11ec-9416-9440c9ab47f0"
"1154835","1","1","1","Dutwa","Dutwa","Bariadi","1","5081a2d0-dec9-11ec-9416-9440c9ab47f0"
"1154836","1","1","1","Dutwa","Dutwa","Bariadi","1","38649c78-dec9-11ec-9416-9440c9ab47f0"
"1154837","1","1","1","Dutwa","Dutwa","Bariadi","1","4eb02998-dec9-11ec-9416-9440c9ab47f0"
"1154837","1","2","2","Nkololo","Nkololo","Bariadi","1","4eb03a5a-dec9-11ec-9416-9440c9ab47f0"
"1154838","1","1","1","Nasa","Nyashimo","Busega","1","4ae1971f-dec9-11ec-9416-9440c9ab47f0"
"1154840","1","1","1","Dutwa","Dutwa","Bariadi","1","4c87f1f4-dec9-11ec-9416-9440c9ab47f0"
"1154841","1","1","1","Dutwa","Dutwa","Bariadi","1","3f1d4aed-dec9-11ec-9416-9440c9ab47f0"
"1154841","1","2","2","Kidinda","","Bariadi","1","3f1d5bed-dec9-11ec-9416-9440c9ab47f0"
"1154842","1","1","1","Nasa","Nyashimo","Busega","1","44ce84d4-dec9-11ec-9416-9440c9ab47f0"
"1154843","1","1","1","Nasa","Nyashimo","Busega","1","36e7ecae-dec9-11ec-9416-9440c9ab47f0"
"1154843","1","2","2","Sola","Masanza","Magu","1","36e80dc5-dec9-11ec-9416-9440c9ab47f0"
"1154845","1","1","1","Kidinda","Bariadi","Bariadi","1","4017ea1f-dec9-11ec-9416-9440c9ab47f0"
"1154845","1","2","2","Nkololo","Nkololo","Bariadi","1","4017f989-dec9-11ec-9416-9440c9ab47f0"
"1154845","1","3","3","Nasa","Nyashimo","Busega","1","40180a4e-dec9-11ec-9416-9440c9ab47f0"
"1154846","1","1","1","Nasa","Nyashimo","Busega","1","45edda0d-dec9-11ec-9416-9440c9ab47f0"
"1154846","1","2","2","Dutwa","Dutwa","Bariadi","1","45ede891-dec9-11ec-9416-9440c9ab47f0"
"1154847","1","1","1","Dutwa","Dutwa","Bariadi","1","3bb88c65-dec9-11ec-9416-9440c9ab47f0"
"1154848","1","1","1","Kabila","Kabila","Magu","1","48b83d0f-dec9-11ec-9416-9440c9ab47f0"
"1154848","1","2","2","Dutwa","Dutwa","Bariadi","1","48b852ab-dec9-11ec-9416-9440c9ab47f0"
"1154849","1","1","1","Dutwa","Dutwa","Bariadi","1","4dcc3025-dec9-11ec-9416-9440c9ab47f0"
"1154859","1","1","1","Rujewa","Rujewa","Mbarali","1","3825cf51-dec9-11ec-9416-9440c9ab47f0"
"1154859","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","3825ddcc-dec9-11ec-9416-9440c9ab47f0"
"1154860","1","1","1","Rujewa","Rujewa","Mbarali","1","4c08f4b5-dec9-11ec-9416-9440c9ab47f0"
"1154860","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","4c090ac2-dec9-11ec-9416-9440c9ab47f0"
"1154861","1","1","1","Rujewa","Rujewa","Mbarali","1","36c01151-dec9-11ec-9416-9440c9ab47f0"
"1154861","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","36c01fde-dec9-11ec-9416-9440c9ab47f0"
"1154863","1","1","1","Saja","Saja","Wanging`ombe","1","4c24ecb8-dec9-11ec-9416-9440c9ab47f0"
"1154863","1","2","2","Rujewa","Rujewa","Mbarali","1","4c24fbf5-dec9-11ec-9416-9440c9ab47f0"
"1154864","1","1","1","Rujewa","Rujewa","Mbarali","1","3f7bb764-dec9-11ec-9416-9440c9ab47f0"
"1154864","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","3f7bc54b-dec9-11ec-9416-9440c9ab47f0"
"1154864","1","3","3","Utengule Usangu","Utengule Usangu","Mbarali","1","3f7bd6a9-dec9-11ec-9416-9440c9ab47f0"
"1154865","1","1","1","Rujewa","Rujewa","Mbarali","1","4673d984-dec9-11ec-9416-9440c9ab47f0"
"1154865","1","2","2","Imalilosongwe","Imalilosongwe","Mbarali","1","4673eaf9-dec9-11ec-9416-9440c9ab47f0"
"1154866","1","1","1","Rujewa","Rujewa","Mbarali","1","3ff207d8-dec9-11ec-9416-9440c9ab47f0"
"1154867","1","1","1","Rujewa","Rujewa","Mbarali","1","436b400e-dec9-11ec-9416-9440c9ab47f0"
"1154868","1","1","1","Utengule","Utenguleusangu","Mbarali","1","4f418f68-dec9-11ec-9416-9440c9ab47f0"
"1154868","1","2","2","Songwe","Imalilasongwe","Mbarali","1","4f419e57-dec9-11ec-9416-9440c9ab47f0"
"1154876","1","1","1","Rujewa","Rujewa","Mbarali","1","4429b536-dec9-11ec-9416-9440c9ab47f0"
"1154876","1","2","2","Madibira","Madibira","Mbarali","1","4429c7b1-dec9-11ec-9416-9440c9ab47f0"
"1154876","1","3","3","Songwe","Imalilasongwe","Mbarali","1","4429d532-dec9-11ec-9416-9440c9ab47f0"
"1154877","1","1","1","Mapogoro","Madibira","Mbarali","1","372978be-dec9-11ec-9416-9440c9ab47f0"
"1154877","1","2","2","Rujewa","Rujewa","Mbarali","1","372a6784-dec9-11ec-9416-9440c9ab47f0"
"1154877","1","3","3","Utengule","Utenguleusangu","Mbarali","1","372a7ca3-dec9-11ec-9416-9440c9ab47f0"
"1154878","1","1","1","Muungano","Muungano","Mbarali","1","411648d0-dec9-11ec-9416-9440c9ab47f0"
"1154878","1","2","2","Songwe","Imalilasongwe","Mbarali","1","4116a41b-dec9-11ec-9416-9440c9ab47f0"
"1154878","1","3","3","Rujewa","Rujewa","Mbarali","1","4116b385-dec9-11ec-9416-9440c9ab47f0"
"1154880","1","1","1","Rujewa","Rujewa","Mbarali","1","360b8985-dec9-11ec-9416-9440c9ab47f0"
"1154880","1","2","2","Utengule","Utenguleusangu","Mbarali","1","360b9b8e-dec9-11ec-9416-9440c9ab47f0"
"1154880","1","3","3","Songwe","Imalilasongwe","Mbarali","1","360bc59d-dec9-11ec-9416-9440c9ab47f0"
"1154880","1","4","4","Muungano","Muungano","Mbarali","1","360be1b6-dec9-11ec-9416-9440c9ab47f0"
"1154881","1","1","1","Wanging`ombe","Wanging`ombe","Wanging`ombe","1","3c6e1014-dec9-11ec-9416-9440c9ab47f0"
"1154881","1","2","2","Rujewa","Rujewa","Mbarali","1","3c6e7545-dec9-11ec-9416-9440c9ab47f0"
"1154881","1","3","3","Songwe","Imalilasongwe","Mbarali","1","3c6e8455-dec9-11ec-9416-9440c9ab47f0"
"1154881","1","4","4","Muungano","Muungano","Mbarali","1","3c6f1689-dec9-11ec-9416-9440c9ab47f0"
"1154889","1","1","1","Utengule usangu","Utengule usangu","Mbarali","1","3596bae4-dec9-11ec-9416-9440c9ab47f0"
"1154889","1","2","2","Rujewa","Rujewa","Mbarali","1","35970567-dec9-11ec-9416-9440c9ab47f0"
